agent0_color_g,agent2_model,agent1_location_x,agent1_model,agent0_heading,agent3_color_b,agent3_color_g,agent1_distance,class
140,BLISTA,-370.7557631,ORACLE,331.1510306,225,226,31.46239562,p5c
255,ORACLE,-370.4306882,BOBCATXL,327.2688853,70,70,31.82764352,p5c
254,BUFFALO,-370.2549436,BOBCATXL,327.2804496,200,201,32.02510859,p5c
137,ORACLE,-371.5720421,JACKAL,326.0541376,44,44,30.54525924,p5c
228,BLISTA,-370.7838973,NINEF,319.0855969,182,182,31.4307847,p5c
83,ORACLE,-370.2035409,ORACLE,319.295849,253,253,32.08286434,p5c
237,NINEF,-371.9131497,BUFFALO,325.2079984,143,147,30.16201392,p5c
189,ASEA,-371.8733876,BISON,330.591842,242,242,30.20668762,p5c
229,PRANGER,-371.0771181,BOBCATXL,318.1681749,158,158,31.10133143,p5c
136,BLISTA,-371.7815999,JACKAL,326.8464359,255,255,30.30981371,p5c
208,PATRIOT,-371.5796855,JACKAL,328.4949302,62,62,30.53667166,p5c
138,NINEF,-370.8099879,ORACLE,323.7228583,40,40,31.40147009,p5c
198,JACKAL,-370.54734,BUFFALO,314.6308887,148,152,31.69657537,p5c
111,JACKAL,-371.514402,BUFFALO,315.0803197,251,251,30.61002032,p5c
144,BUFFALO,-370.3761886,PATRIOT,320.3754734,126,126,31.88887863,p5c
67,ASEA,-371.9719329,BLISTA,311.966561,255,255,30.09596962,p5c
58,ORACLE,-369.7209369,DOMINATOR,320.1041008,130,130,32.62512078,p5c
42,BUFFALO,-370.9823085,JACKAL,318.7647329,224,224,31.20785606,p5c
219,NINEF,-370.7942269,BUFFALO,318.3662417,224,224,31.41917862,p5c
111,JACKAL,-371.7000991,BLISTA,324.1345068,37,37,30.40138248,p5c
247,GRANGER,-371.3679484,BISON,316.7568224,63,67,30.77456754,p5c
84,DOMINATOR,-370.8828867,JACKAL,331.2207669,170,170,31.31956305,p5c
255,DOMINATOR,-371.9922264,DOMINATOR,316.4290158,126,126,30.07316947,p5c
236,PATRIOT,-369.9672718,GRANGER,321.3433018,51,51,32.34833654,p5c
78,ASEA,-371.0312095,BISON,311.8157808,243,243,31.15291265,p5c
255,ORACLE,-369.8335512,BOBCATXL,318.4266097,206,209,32.49858598,p5c
87,NINEF,-371.6291653,BOBCATXL,312.0230673,204,186,30.48107916,p5c
255,BALLER,-370.2308946,PATRIOT,317.8762274,69,69,32.05212985,p5c
76,ORACLE,-370.375851,JACKAL,323.2557126,76,105,31.889258,p5c
255,ORACLE,-371.275968,NINEF,314.3774485,104,104,30.87791228,p5c
70,BISON,-370.309289,PATRIOT,320.8117616,129,129,31.96404641,p5c
61,BISON,-372.0238585,BUFFALO,320.0690805,222,225,30.03763013,p5c
238,PRANGER,-369.7108696,BLISTA,325.1065996,54,56,32.63643253,p5c
137,ASEA,-369.4938111,BLISTA,315.567955,243,243,32.88032348,p5c
117,BUFFALO,-371.0247293,NINEF,314.5721453,84,84,31.16019354,p5c
114,ORACLE,-370.0158567,ORACLE,319.2949127,101,107,32.29374634,p5c
201,ORACLE,-371.0419109,ORACLE,325.1209768,60,60,31.14088893,p5c
65,ORACLE,-370.9263039,PATRIOT,323.0654684,5,5,31.27078094,p5c
169,ASEA,-371.1919785,JACKAL,324.6419966,79,200,30.97227902,p5c
255,PATRIOT,-371.9281328,JACKAL,319.3083271,69,146,30.14518,p5c
255,BLISTA,-370.9697968,NINEF,313.468441,211,211,31.22191376,p5c
111,ORACLE,-369.7204034,BLISTA,317.8842264,95,194,32.6257203,p5c
133,JACKAL,-369.7188198,ASEA,327.0003825,59,59,32.62749958,p5c
43,NINEF,-370.7411959,BOBCATXL,322.8318108,159,159,31.47876295,p5c
165,ASEA,-370.0486756,BOBCATXL,320.8725173,0,0,32.25687092,p5c
255,ORACLE,-371.1472906,PATRIOT,330.3289122,145,167,31.02248847,p5c
236,PATRIOT,-370.5209363,BLISTA,311.7573906,57,57,31.72624205,p5c
255,BOBCATXL,-371.9782269,DOMINATOR,322.7812356,110,110,30.08889815,p5c
137,NINEF,-371.5784314,ORACLE,319.5789155,46,46,30.53808067,p5c
193,DOMINATOR,-370.2686498,BLISTA,328.5306433,160,161,32.00970832,p5c
201,NINEF,-371.8110045,BISON,312.1473232,219,219,30.27677681,p5c
179,ORACLE,-371.1707584,NINEF,323.0673431,116,143,30.99612099,p5c
182,BLISTA,-370.1008216,GRANGER,329.8837559,50,50,32.19827956,p5c
147,ASEA,-371.1536734,PATRIOT,311.6674798,72,72,31.01531697,p5c
127,BALLER,-370.571748,DOMINATOR,324.2386609,246,246,31.66915089,p5c
158,DOMINATOR,-371.047532,PRANGER,330.3249502,52,52,31.13457326,p5c
101,BLISTA,-371.2129058,JACKAL,328.1399071,148,148,30.94876603,p5c
150,BLISTA,-369.846337,NINEF,318.2763561,207,218,32.48421977,p5c
53,NINEF,-371.2902511,BALLER,317.4403603,151,190,30.86186447,p5c
255,DOMINATOR,-369.5279314,GRANGER,315.9124608,196,196,32.8419852,p5c
193,ASEA,-369.9022669,DOMINATOR,325.6480257,255,255,32.42137641,p5c
254,BLISTA,-370.3403393,JACKAL,315.1340968,142,142,31.92915856,p5c
196,BALLER,-370.2569637,BALLER,330.3173607,246,246,32.02283882,p5c
196,BUFFALO,-371.6826143,NINEF,320.8237708,137,164,30.42102726,p5c
143,ASEA,-371.9756415,BISON,325.4306199,79,79,30.09180295,p5c
161,BALLER,-370.9763842,BOBCATXL,322.0251304,149,133,31.21451237,p5c
171,NINEF,-370.859891,NINEF,319.4926692,255,255,31.34540031,p5c
111,PATRIOT,-370.5744302,ORACLE,330.3608528,152,152,31.66613722,p5c
151,ORACLE,-370.7403036,GRANGER,321.7137529,18,18,31.47976547,p5c
22,BALLER,-370.0944926,PATRIOT,317.4897628,182,190,32.20539084,p5c
204,GRANGER,-371.2804952,PATRIOT,313.3692067,0,0,30.87282572,p5c
68,PRANGER,-369.9910368,BALLER,311.8457081,113,113,32.32163402,p5c
212,BALLER,-369.6255057,ASEA,316.5751717,136,164,32.73234877,p5c
85,JACKAL,-371.935556,PRANGER,331.2180293,218,218,30.13683994,p5c
255,ORACLE,-370.8412984,BOBCATXL,320.4428551,188,189,31.36629041,p5c
114,ASEA,-371.4738812,DOMINATOR,316.8097137,196,196,30.65554718,p5c
183,PRANGER,-371.0179051,BISON,313.4829681,101,101,31.16786098,p5c
86,ASEA,-371.6867826,ASEA,330.5926101,114,120,30.4163441,p5c
